date,OPEN,HIGH,LOW,CLOSE,VOLUME,others_dr,puell-multiple,sth-mvrv,lth-mvrv,volume_sma_em,trend_dpo,volatility_ui,lth-sopr,volume_em,cdd,trend_adx,out-flows,trend_mass_index,SUGAR,COFFEE,trend_stc,fear_greed,volatility_atr
2013-02-06,20.6078211379366,21.3310269129873,20.6078211379366,21.2016287160435,59457.28691631,0.0,1.439,1.35,4.25,0.0,18424.8290665962,0.0,2.3792048549,0.0,4024029.2,0.0,153206.40426,1.0,18.339,149.808095238095,0.0,40.0,0.0
2013-02-07,21.2016287160435,22.2025515987398,20.8103070154217,22.1217808336164,75652.899569,4.340006750880465,1.451,1.39,4.44,988.2538525375188,18424.36899053741,0.0,2.5729075728,988.2538525375188,5316734.63,0.0,125005.5369,2.142734497110093,18.339,149.808095238095,0.0,40.0,0.0
2013-02-08,22.1217808336164,22.7902066868911,22.0120638786964,22.7209548939684,59350.72654674,2.7085254340893483,1.428,1.41,4.57,1080.6479858733242,18424.01590716436,0.0,2.8674342688,1173.0421192091294,8406212.37,0.0,135994.6992,3.2377821208426303,18.339,149.808095238095,0.0,40.0,0.0
2013-02-09,22.7209548939684,23.9604085127533,22.591646547912,23.6838176687102,44870.87009795,4.237774245119463,1.615,1.45,4.77,1610.0360396766257,18423.598649784155,0.0,3.5088559362,2668.812147283229,10770068.28,0.0,97425.54973,4.415432429149293,18.339,149.808095238095,0.0,40.0,0.0
2013-02-10,23.6838176687102,24.1065550520651,22.74799906585,23.9682983039163,63383.48585158,1.201160383792077,1.631,1.45,4.81,1288.5737526399596,18423.291399228987,0.0,2.2692074504,324.1868915299622,3013179.87,0.0,90470.26741,5.627625761511849,18.339,149.808095238095,0.0,40.0,0.0
2013-02-11,23.9682983039163,24.5505395865537,23.6953510629675,24.5484159214328,39022.13228799,2.4203537946693165,1.451,1.47,4.9,1335.7769972369988,18422.98987925596,0.0,2.1390031058,1524.5899756251558,5401324.23,0.0,144222.78963,6.760067564106505,18.339,149.808095238095,0.0,40.0,0.0
2013-02-12,24.5484159214328,25.8308742264345,24.3619091499612,25.2722410036258,90258.01077656,2.948561261588556,1.754,1.48,4.99,1377.1976910277465,18422.67110426348,0.0,2.2903089201,1584.3011599814852,5287203.36,0.0,173090.59964,7.943679020490039,18.339,149.808095238095,0.0,40.0,0.0
2013-02-13,25.2722410036258,26.2124429869928,24.2671997269565,24.2671997269565,103798.93066953,-3.97685854817984,1.709,1.44,4.93,1218.85434771502,18422.557653178705,0.0,2.0201928506,268.7942878386626,7419024.69,0.0,175061.82593,9.219034905122252,18.339,149.808095238095,0.0,40.0,0.0
2013-02-14,24.2671997269565,27.439857708118,21.9569328891691,27.2405756807618,150008.06298731,12.252653735331553,2.01,1.56,5.46,819.1276534490113,18422.139038340123,0.0,2.1460090295,-1978.959206413052,7161560.95,0.0,199563.28506,10.95630595911921,18.339,149.808095238095,0.0,40.0,0.0
2013-02-15,27.2405756807618,27.477857041448,26.2177219855402,27.0929671863023,61764.56148003,-0.541869952343732,2.126,1.53,5.43,1215.3628521175176,18421.818907318702,0.0,4.3514004509,4385.244441465567,22481656.84,0.0,174732.2839,12.383487781863368,18.339,149.808095238095,0.0,40.0,1.663336785257241
2013-02-16,27.0929671863023,27.499920441708,26.8435319542232,27.315626951386,21824.36973464,0.8218360268648306,2.074,1.52,5.47,1191.2535776036282,18421.53674014072,0.0,2.0320184092,974.2701069786244,5971819.6,0.0,112437.99234,13.56561680083611,18.339,149.808095238095,0.0,40.0,1.562641955479997
2013-02-17,27.315626951386,27.4045872747965,25.110026922432,26.8961429574462,86152.60510189,-1.5356923518041965,1.771,1.48,5.39,861.5547096264635,-3.4925087709703497,0.0,2.3138421007,-2435.4339701451845,5814938.63,0.0,107640.70079,14.769544534991075,18.339,149.808095238095,0.0,40.0,1.6358337951684476
2013-02-18,26.8961429574462,27.0097718504475,26.433990878051,26.9495528329032,35642.51278451,0.1985781959201515,1.903,1.47,5.4,852.2992068542108,-2.7458501415427854,0.0,2.2147410085,750.4886763594312,6713771.13,0.0,158835.40563,15.801320231230443,18.339,149.808095238095,0.0,40.0,1.529828512891253
2013-02-19,26.9495528329032,29.6522431618402,26.8438362437939,29.4338080772419,113090.9283379,9.218168701135651,2.329,1.58,5.9,1078.2712563196162,-2.472831588482407,1.2030739413177831,2.2936433631,3789.9358499044815,6417625.37,0.0,161118.45846,16.95331900588008,18.339,149.808095238095,0.0,40.0,1.6576863534067576
2013-02-20,29.4338080772419,29.8658266109772,29.1034769604515,29.8254917390948,45471.41814558,1.330727104100915,2.115,1.58,5.99,1149.3403202941167,-1.81874916418354,1.2030739413177831,3.256933074,2073.238151962621,9539552.63,0.0,198092.0927,17.96827398048811,18.339,149.808095238095,0.0,40.0,1.5681526831186523
